Amis,English
na,[indistinct]
tarivaksun,hello (polite)
sinsi,Teacher.
"ui, na tarivakaken.","Yeah, I'm fine."
ui,yea
na,[indistinct]
tarivakaken,I'm fine.
saka na tarivaksun uta?,So how are you?
saka,That's it.
na,[indistinct]
tarivaksun,hello (polite)
uta,also
"ui, na tarivakaken, uta.","Yeah, I'm good too."
ui,yea
na,[indistinct]
tarivakaken,I'm fine.
uta,also
masalu!,Thank you!
masalu,"Thank you, sir."
situsun?,Are you a student?
situsun,You're a student.
"ui, situaken.","Yes, I'm a student."
ui,yea
situaken,I'm a student.
situ timadju uta?,Is he a student too?
situ,Student
timadju,(used for either sex when the sex is unknown or unimportant)
uta,surname Ye
"ini, ini ka situ timadju.","No, he's not a student."
ini,fault
ini,fault
ka,[indistinct]
situ,Student
timadju,(used for either sex when the sex is unknown or unimportant)
saka anema timadju?,"So, what does he do?"
saka,That's it.
anema,What's that?
timadju,(used for either sex when the sex is unknown or unimportant)
sinsi timadju.,He's a teacher.
sinsi,Teacher.
timadju,(used for either sex when the sex is unknown or unimportant)
gacalju!,Please rise!
gacalju,Please rise.
kiljavaranu!,Go ahead!
kiljavaranu,Go ahead.
kilangedau!,Please listen!
kilangedau,Please listen.
qiladju!,Please sit down!
qiladju,Please sit down.
kiqenetju!,Please see!
kiqenetju,Please see
ti imasun?,Who are you?
ti,[indistinct]
imasun,Who are you?
ti Kuliw aken.,I'm Kuliw.
ti,[indistinct]
Kuliw aken,I'm kuliw.
ti Ljaljuy a ngadan nimadju?,Is her name Ljaljuy?
ti,[indistinct]
Ljaljuy,(woman's name)
a,[indistinct]
ngadan,name (of a person or thing)
nimadju,Her.
"ini ka ti Ljaljuy timadju, ti Muakay a ngadan.","She's not Ljaljuy, she's Muakay."
ini,fault
ka,[indistinct]
ti,[indistinct]
Ljaljuy,(woman's name)
timadju,she
ti,[indistinct]
Muakay,(woman's name)
a,[indistinct]
ngadan,name (of a person or thing)
’uqaljay sun.,You're boys.
’uqaljay sun,You're a boy.
vavayavayan amen.,We're girls.
vavayavayan amen,We're girls.
’uqaljay ti Ljavaws?,Is Ljavaws a boy?
’uqaljay,schoolboy
ti,[indistinct]
Ljavaws,(woman's name)
"ini, vavayan timadju.","No, she's a girl."
ini,fault
vavayan,schoolgirl
timadju,(used for either sex when the sex is unknown or unimportant)
izua ku vatu.,I have dogs.
izua,there are
ku vatu,My dog.
qecengecengel a ku vatu.,My dog is black.
qecengecengel,black
a,[indistinct]
ku vatu,My dog.
tjengelay aken tua ku vatu.,I love my dog.
tjengelay aken,I like it.
tua,[indistinct]
ku vatu,My dog.
tjengelay a ku vatu tjaynuaken uta.,My dog likes me too.
tjengelay,I like it.
a,[indistinct]
ku vatu,My dog.
tjaynuaken,To me.
uta,surname Ye
inuan ti sinsi?,Where's the teacher?
inuan,Where is it?
ti,[indistinct]
sinsi,Teacher.
azua ti sinsi.,The teacher is there.
azua,There it is.
ti,[indistinct]
sinsi,Teacher.
inuan a su inpic?,Which one is your pen?
inuan,which
a,[indistinct]
su inpic,Your pen.
aicu a ku inpic.,This is my pen.
aicu,This is
a,[indistinct]
ku inpic,My pen.
anema aicu?,What's this?
anema,What's that?
aicu,Here.
cukui aicu.,This is the table.
cukui,desks
aicu,Here.
sadjelung azua qiladjan?,Is that chair heavy?
sadjelung,heavy
azua,That.
qiladjan,chairs
"ui, sadjelung aravac.","Yes, very heavy."
ui,yea
sadjelung aravac,Very heavy.
tima azua caucau?,Who's that?
tima,who
azua,That.
caucau,man
niaken a kina.,My mom.
niaken,my
a,[indistinct]
kina,Mom.
anema sengesengan na su kina?,What does your mom do for a living?
anema,What's that?
sengesengan,(of a machine) operate
na,[indistinct]
su kina,Your mom.
gusi a sengesengan a ku kina.,My mom works as a nurse.
gusi,nurse
a,[indistinct]
sengesengan,(of a machine) operate
a,[indistinct]
ku kina,My mom.
izua sunatj/qadupu i vavav tua cukui?,Is there a book on the table?
izua,there are
sunatj/qadupu,letter
i,[indistinct]
vavav,on top of
tua,[indistinct]
cukui,desks
izua tjelu a sunatj/qadupu i vavav tua cukui.,There are three books on the table.
izua,there are
tjelu,surname San
a,[indistinct]
sunatj/qadupu,letter
i,[indistinct]
vavav,on top of
tua,[indistinct]
cukui,desks
ita qudjidjilj sa drusa a qecengecengel.,One in red and two in black.
ita,"""one"" radical in Chinese characters (Kangxi radical 1)"
qudjidjilj,Red.
sa,Also; at the same time
drusa,stupid (Beijing dialect)
a,[indistinct]
qecengecengel,black
niima azua qudjidjilj a sunatj/qadupu?,Whose red book is it?
niima,Whose
azua,That.
qudjidjilj,Red.
a,[indistinct]
sunatj/qadupu,letter
na sinsi azua qudjidjilj a sunatj/qadupu.,That red book is the teacher's.
na,[indistinct]
sinsi,Teacher.
azua,then (in that case)
qudjidjilj,Red.
a,[indistinct]
sunatj/qadupu,letter
maljelimamen a tacemekeljan.,There are five of us in the family.
maljelimamen,The five of us.
a,[indistinct]
tacemekeljan,Family (blood relatives)
"izua ti vuvu, ti kama, ti kina, katua ti kaka i Muni sa tiaken.","There's Grandma, Dad, Mom and Muni's sister, and me."
izua,there are
ti,[indistinct]
vuvu,Ancestor; Grandson
ti,[indistinct]
kama,(informal) father
ti,[indistinct]
kina,Mom.
katua,respond in singing
ti,[indistinct]
kaka i Muni,Sister Muni.
sa,"Also, there's more."
tiaken,me
kitulutulu aken i tua tatakesian nua kakerian.,I'm in school.
kitulutulu aken,I'm reading; I'm studying.
i,over
tua,[indistinct]
tatakesian nua kakerian,National Elementary School
azua kukaka ti Muni i tua yucing.,My sister Muni is in kindergarten.
azua,That.
kukaka ti Muni,My sister Muni.
i,over
tua,[indistinct]
yucing,Nursery
"medjama sun, kina.","Mom, you're up early!"
medjama sun,Good morning! You're up early!
kina,Mom.
"ui, Kapi, idu/kelju kenamai anga!","Yes, Kapi, come for breakfast!"
ui,yea
Kapi,(man's name)
idu/kelju,Come on.
kenamai anga,We're having breakfast.
"mayanan, vaikanan aken a kimurmur.","Wait, I'll brush my teeth first."
mayanan,wait a moment
vaikanan aken,I'll go first...
a,[indistinct]
kimurmur,brush one's teeth
pinaqupu anga uta!,Wash your face too!
pinaqupu anga,Wash your face.
uta,surname Ye
"ui, kemeljang aken.","Yes, I know."
ui,yea
kemeljang aken,I know. I know.
pida nga a su cavilj?,How old are you?
pida nga,How much?
su cavilj,Your age.
tapuluq anga a ku cavilj.,I'm ten years old.
tapuluq anga,Ten years old.
a,[indistinct]
ku cavilj,My Age
mapida a mareka su kaka?,How many siblings do you have?
mapida,several bits
a,[indistinct]
mareka su kaka,Your brothers and sisters.
izua ti kaka i Buka katua ku kaka ti Muni.,There is brother Buka and sister Muni.
izua,there are
ti,[indistinct]
kaka,siblings
i,[indistinct]
Buka,(man's name)
katua,respond in singing
ku,[indistinct]
kaka,siblings
ti,[indistinct]
Muni,(woman's name)
pida nga cavilj na su kaka a tjaljaljak?,How old is your sister?
pidaanga,How much?
a,[indistinct]
cavilj,"Year, age"
na,[indistinct]
su kaka,Your brothers and sisters.
a,[indistinct]
tjaljaljak,Younger
unem anga cavilj nimadju.,Six years old.
unem anga,Six years old.
cavilj,"Year, age"
nimadju,her
inuan a su umaq?,Where is your home?
inuan,Where?
a,[indistinct]
su umaq,Your home.
i gadu a ku umaq.,My home is in the mountains.
i,[indistinct]
gadu,bundled straw in which silkworms spin cocoons
a,[indistinct]
ku umaq,My home.
i dudut/dungdung tua tatakesian a su umaq?,Do you live near a school?
i,over
dudut/dungdung,neighboring
tua,[indistinct]
tatakesian,Schools
a,[indistinct]
su umaq,your home
"ui, i dudut/dungdung tua tatakesian.","Yes, near the school."
ui,yea
i,over
dudut/dungdung,neighboring
tua,[indistinct]
tatakesian,Schools
sa djemavadjavac aken a ljemita tua qadav a sema tatakesian.,I walk to school every day.
sa,[indistinct]
djemavadjavac aken,I walk a lot.
a,[indistinct]
