Paiwan,English
uri keman aken ta kinsa,I want some rice
pinaqaljayan sekavililj anga en,Sorry I am late
maljian a quljavan a caucau,Different races
maka suap anga ken,I have finished cleaning up
na vaikanga ken a sema tjanumun,Yeah I have been to your place before
tjayvavaw,sir
avan za e,those
aya tikama taza mana pinualjkan angata pai,Father said The actual birth position is this
neka nu nia paisu inika uri madjaljun tu nisingmang aza nia paisu ljakua,We do not have the money and we are worried we will not meet the million budget but
semusuq,live
valauvau aken a ru ma binziu aken,I feel like vomiting I need to go to the restroom
au nuizua za uli macay anga pakeljan anemaitjen ta maitazua,Then there is the one where the person is dying and dreaming What about that
a ta sicuayan,previously
izua i tjumaq ti Vais,Is Vais at home please
namakakayzuwazuwa,kind
sikalja,in the process of
tua mara u ama atua u ina a paquzip tjua tja nuamen tjayavaw,My parents supported us
adupu,paper
akatjengelayan kinasenseng,I was recognized for my work at the Malaria Institute
ui alapu,Sure take it
izua tja maqa uri tja kasengsengen a temaqaljan,Or if there is any tribal business that we all need to get done
auanema u sitjaucikel tiaʼen a tjau alidau a caucau,What can I say I am a newborn calf
u vinava a macidilj lja,I made it myself
i,exist
anema su tjevavavan a sema kiukay,What bus do you take to church
kemuda ki alja lja,I do not know what to say
nu mamazangiljan gemugu itjen a matjeze i kasasavan,Only the royal system can shout its way onto the roof
buya djavadjavay tiaken ti sakinu,Hello buy I am taking
anema uri tja pacugan atja sivaik imaza aya,Any specific reason why you are leaving
tatiav kasiqinaljan aken a na ljemilji tjay vuvu i Ubak,Yesterday I went to visit my Ubak grandpa in the tribe
emapaz,building a fence
vuvu mangtjengtjez aken lja ljemilji tjanusun,Grandma I am here to see you
neka nia sinan siaw ana penuljat kumalji aza ringai nia pini zua anga aya,There is no more It has all been boiled in soup and even the animal clips have been put there He replied
kinivusan tu sitjugut ta tjaiviljilj,It is for future use as a seed
qemudjalj anga ini aken a na kemacu ta ljinay,It is raining and I do not have an umbrella with me
semanqata ui semanqata,Despise Yeah despise
nakemuda su mangetjez,How did you get here
a djemet a iyubingkiyuku tua gakku,Is the post office close to the school
kintalj,once
tjala qaveleng semezam aravac,Then the heat must have soured
zemangalkisamulja,endeavor
tacusuan,bunch
ui inia lemangdangda,Yeah they do not listen
saka qaca zaljum tazua,And it was a big river
nua,be
padraiyan ,choreography
malim anga ken a semljec ta ku bintu,I forgot to steam my lunchbox
lja kasicuayan na lu paqeljiqeljing itjen,Because we used to help each other
sau kerimu,Okay go quickly
pivarung,Hang on to your heart
tjumaq anga men,We are going home
kemeljang sun tuki izua anemanema a kudamunu i taiwan,Do you know what fruits are available in Taiwan
na qemudjalj Aqu sun a tjevetjeveng a penulingelingetj,Is it raining Why are you all wet
a kivenangalj a ljemita tu cavilj,Will the results be finalized every year
aljak nupulju aya tjen,We are talking about orphans
e apasa gakkuin,Sent to school
anema tja kudaing a ma can,We are going to see butterflies
sanpazangalu,treasure
na itua manvudas amen a kalakudakuda,We were working at Sandys
avan a nia kinatjuruvuan a marka aljak ni kina a vinaikan amen nua nia kama,Because my mom had a lot of kids and my dad passed away
sa iramata auta semu cacavu,They take off their footwear when it is time to take a shower
sane,Also and
aw izua na pavecik ljakua ika nama alap,Some people went to register but were not admitted
ui na tarivakaken uta,Yeah I am good too
tima na qemati tua dingwa,Who invented the telephone
sa qaqivuqivu anane a semanberaq tjanuaken,And they say I am not good enough for them
tjananguaq aku paka tji puljaljuyan aku aljak aya,My kid named him Blarayang
menuremur aken nu makakan anga aken,I brush my teeth after meals
azua kitjaljezua zua manaku tjaucikei tazua,This is the end of the story
qaupai sa izuanga tiyamadju izua itjua,They have been living there ever since
dikilu na silamelames ni tjainanga i ljeljeng,Yes My sister used to steam it with millet
pungkang,Minutes
sanpulu,rice cooker
a palingulj tua kinaizuanan a qinaljan temalem tua kavayan a qau kata nauvelem a marka kasiw turi sikiljakevan tua vali tua qalja,The planting of bamboos in the outskirts of tribal settlements or in the territory of settlements as a dense wood or boundary and as a defense against enemies and wind
aku susikeljang,How do you know
nasepaveli anga nia qecilu a qemdjeljem,We are out of eggs
a pudringai katua qemaljup kimaretimalji,What is the difference between trapping and hunting
ljakua tjala kulusian ta pinualjakan ta tjalja vuluvulungan,But I had the hardest time giving birth to my eldest
na mare kicun anga men ta nu tucu a pulavalavay vaik amen a sema ta umaq nimadju a maljavaljavar,We had arranged to visit his home this holiday for the interview
palisilisi a uqaljay,Specialized in praying for blessings
dremaudraw anga ken a kemacu tua inepic,I forgot to bring my pen
sa avananga penedi,The next step is to cut it in half
qakizua na maljekuya qakizua na makuda sa,See if there is any damage or what
na namakuda kinaqadavan nu kalja pulavayan,How is the weather on the weekend
kata,up to
saka lja na tjuruvu angata mareka u kaka,And because I really have a lot of brothers and sisters
qau azua namaruqu avali atjalja ruqizingan uzai a 14級 namayatu raljiz a i nakudral sikana gemagalj,The strongest winds of the Lok Shan Storm can reach force which is comparable to the strength of a strong typhoon
aw izua za ku inalim azua paka nu keman ta vurati kata vasa,I just forgot to mention the part about eating groundnuts and taro
tjadjaljav a pakatuakisia tuki basu,Is the train faster than the bus
kemasi cinhe kemasi inu,From building and from different places
na kikalaray a en,I have got it hanging
tucu tucu,Is that where you live now
namaya ken tjengelay aken uta ta unggaku ayatua maqati a semenai katua kitulu ta pazaizaing,Like you I love music class I love music class because I get to sing and learn all kinds of instruments
avan a vavuy keman tucu a kakanen nimadju,Only mountain pigs eat it It is their food
kicugecug nimadju ulja medjamadjama men a vaik a masengseng,He ran at him because we all go to work early
vacalj a izua zaljum tjemazai sakamaya a ljemanguy,The water is deep there so we just swim here
na djinameq anga aku na tjuruvu amen,There were a lot of people in my department at that time
lininguljan,surround
secigiw aken ta kukumia gakku,I graduated from elementary school
tinavak,given
kati sa tjinuay,I am married to Saginawai
kimaya ita a milingan,It takes about an hour
Ripungananu aya,Tell us to speak Japanese
ki makudakuda nu zikangan nu maka tua jiyin sun a sema tua nia umaq,How long did it take you to come to my house by subway
kinemenem timadju tua siseljenguaqan,He is thinking about the future of tribal comfort
makadju ta macidil,Adore someone
nusauny,Now what
mapasaqetju,injured
djuriyac,open your eyes
singelit,think
kitaljipan,fig keep out of trouble
saka na venala sun auta,So how are you
i tulutulu a ken i Taihuku,I studied in Taipei
sicauvan hutung,quilt
a nimun a vuvu,Your grandma
inu ti Tjuku,Where is Tjuku
